id,ids_prism,ids_espn,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay,profile_height,profile_weight,position_abbreviation,position_group,team_abbreviation,team_jerseyNumber,status_code,status_description,profile_rookieYear
01rb14s3zm,01rb14s3zm,4431545,00-0039746,21141,ShipWi00,11577,796e223d-e8d5-42ab-afb4-557fa6183357,Q109187026,41002,W.Shipley,William,Will Shipley,"Shipley, Will","Shipley, W",William Shipley,,Will Shipley,Shipley,Will,,2002-08-29,2002,08,29,71,210,RB,RB,PHI,28,ACT,Active,2024
059xleevqh,059xleevqh,4427366,00-0038120,19427,HallBr03,8155,db1053d7-3343-43a3-9aab-8353f10f1221,Q99670654,33991,B.Hall,Breece,Breece Hall,"Hall, Breece","Hall, B",Breece Hall,,Breece Hall,Hall,Breece,,2001-05-31,2001,05,31,71,217,RB,RB,NYJ,20,ACT,Active,2022
09w695n8hr,09w695n8hr,4242431,00-0037276,19471,ChanTy01,8230,a0833a94-60ce-4a3a-a32a-d067fe7b253d,Q111818676,34125,T.Chandler,Tykevious,Ty Chandler,"Chandler, Ty","Chandler, T",Tykevious Chandler,,Ty Chandler,Chandler,Ty,,1998-05-12,1998,05,12,71,204,RB,RB,NO,32,ACT,Active,2022
0dkxe1x2th,0dkxe1x2th,4362921,00-0038104,19491,ThorTy00,8188,74cda487-2026-42e0-ae32-77f3502cfb11,Q111085291,34005,T.Thornton,Tyquan,Tyquan Thornton,"Thornton, Tyquan","Thornton, T",Tyquan Thornton,,Tyquan Thornton,Thornton,Tyquan,,2000-08-07,2000,08,07,74,185,WR,WR,KC,2,ACT,Active,2022
0n8d26yxmh,0n8d26yxmh,4710714,00-0041035,23066,StriDe01,13417,ca6fa516-adeb-4fd2-9408-17c9c2e38798,Q130332377,42655,D.Stribling,De'Zhaun-Ryan,De'Zhaun Stribling,"Stribling, De'Zhaun","Stribling, D",De'Zhaun-Ryan Stribling,,De'Zhaun Stribling,Stribling,De'Zhaun,,2002-12-18,2002,12,18,74,207,WR,WR,SF,15,ACT,Active,2026
0nr4xs8zx0,0nr4xs8zx0,4685522,00-0041568,22936,SimpTy00,13275,2e62e603-363a-425f-8c57-0a1600476c85,Q116234477,42635,T.Simpson,Tyler,Ty Simpson,"Simpson, Ty","Simpson, T",Tyler Simpson,,Ty Simpson,Simpson,Ty,,2002-12-21,2002,12,21,74,208,QB,QB,LA,15,ACT,Active,2026
0p11t6bxgr,0p11t6bxgr,4360438,00-0036261,17983,AiyuBr00,6803,c90471cc-fa60-4416-9388-5aebb5d877eb,Q75837911,32695,B.Aiyuk,Brandon,Brandon Aiyuk,"Aiyuk, Brandon","Aiyuk, B",Brandon Aiyuk,,Brandon Aiyuk,Aiyuk,Brandon,,1998-03-17,1998,03,17,72,200,WR,WR,SF,11,RLS,R/Left Squad,2020
0pp77rg64h,0pp77rg64h,4431536,00-0040400,21149,EdwaDo01,12515,162f3110-24fe-11f0-9c33-270dfe4c58dc,Q108408578,42226,D.Edwards,Donovan,Donovan Edwards,"Edwards, Donovan","Edwards, D",Donovan Edwards,,Donovan Edwards,Edwards,Donovan,,2003-02-25,2003,02,25,73,212,RB,RB,MIA,36,ACT,Active,2025
0ps0bjgzy0,0ps0bjgzy0,4837248,00-0041562,22928,MendFe00,13269,b1ded115-092a-4199-9a55-cab9f4b5bb18,Q123411920,42623,F.Mendoza,Fernando,Fernando Mendoza,"Mendoza, Fernando","Mendoza, F",Fernando Mendoza,,Fernando Mendoza,Mendoza,Fernando,,2003-10-01,2003,10,01,77,236,QB,QB,LV,15,ACT,Active,2026
0z7b94ldpd,0z7b94ldpd,3043078,00-0032764,15055,HenrDe00,3198,87c481c7-7414-43cc-82df-19ca0c2ae22e,Q16729768,29279,D.Henry,Derrick,Derrick Henry,"Henry, Derrick","Henry, D",Derrick Henry,,Derrick Henry,Henry,Derrick,,1994-01-04,1994,01,04,75,252,RB,RB,BAL,22,ACT,Active,2016
10nt79jntd,10nt79jntd,4711533,00-0040198,22071,GordOl00,12495,42753bb4-a416-4d40-bf81-f20d2181be2f,Q115587460,41969,O.Gordon,Ollie,Ollie Gordon,"Gordon, Ollie","Gordon, O",Ollie Gordon II,II,Ollie Gordon II,Gordon,Ollie,,2004-01-15,2004,01,15,74,225,RB,RB,MIA,0,ACT,Active,2025
1540mysd5m,1540mysd5m,4431611,00-0039918,21124,WillCa03,11560,49d4b627-3f19-49a8-ae33-f539e0fb1f88,Q108878513,40900,C.Williams,Caleb,Caleb Williams,"Williams, Caleb","Williams, C",Caleb Williams,,Caleb Williams,Williams,Caleb,,2001-11-18,2001,11,18,73,226,QB,QB,CHI,18,ACT,Active,2024
